epoch,global_step,train_loss,lr,eval_success_rate,eval_mean_reward,eval_mean_steps
1,39,1.1233122134820008,4.263398672682428e-06,,,
2,78,0.8877459886746529,5.0507039048642205e-06,,,
3,117,0.7099001178374658,6.353275065164017e-06,,,
4,156,0.5404156232491518,8.156816507136135e-06,,,
5,195,0.4224429077062851,1.0441534463199586e-05,,,
6,234,0.3855713544747768,1.3182354280142668e-05,,,
7,273,0.36253539262673795,1.6349195612055188e-05,,,
8,312,0.33724223191921526,1.9907302550461244e-05,,,
9,351,0.3136472900708516,2.3817625068492604e-05,,,
10,390,0.30605767017755753,2.803724759277384e-05,,,
11,429,0.2971664904019771,3.251985999946677e-05,,,
12,468,0.2907090018957089,3.7216265865318385e-05,,,
13,507,0.2816638889221045,4.2074922395685186e-05,,,
14,546,0.26941607816097063,4.704250610385393e-05,,,
15,585,0.2689021050165861,5.20644980333592e-05,,,
16,624,0.26018772331567913,5.7085782100515366e-05,,,
17,663,0.25641783345968294,6.205124999038707e-05,,,
18,702,0.2507219490332481,6.690640596749764e-05,,,
19,741,0.24835700560838747,7.159796496351221e-05,,,
20,780,0.24848652229859278,7.60744373779157e-05,,,
21,819,0.24794466602496612,8.02866941735309e-05,,,
22,858,0.2440027342392848,8.41885060649844e-05,,,
23,897,0.24351132680208254,8.773705088255676e-05,,,
24,936,0.2352695277868173,9.089338354312707e-05,,,
25,975,0.23854445532346383,9.362286347030621e-05,0.0,1.5647781129937357,100.0
26,1014,0.22991626079265887,9.589553477284702e-05,,,
27,1053,0.2298346975674996,9.768645500889398e-05,,,
28,1092,0.22359593823934212,9.89759689279031e-05,,,
29,1131,0.2240165292452543,9.974992418592974e-05,,,
30,1170,0.21976103920202988,9.99999977747374e-05,,,
31,1209,0.22110521525908738,9.999643962204849e-05,,,
32,1248,0.21476388436097366,9.998611277883079e-05,,,
33,1287,0.21189666443910354,9.996901864317357e-05,,,
34,1326,0.2052502446831801,9.994515952934914e-05,,,
35,1365,0.20815933476655912,9.991453866749961e-05,,,
36,1404,0.20463241025423393,9.98771602031995e-05,,,
37,1443,0.19802389656886077,9.983302919689453e-05,,,
38,1482,0.19990875782110754,9.978215162321653e-05,,,
39,1521,0.20303941384339944,9.972453437017457e-05,,,
40,1560,0.19493090533293211,9.966018523822238e-05,,,
41,1599,0.19703143452986693,9.958911293920235e-05,,,
42,1638,0.19360149518037453,9.951132709516611e-05,,,
43,1677,0.1925291625353006,9.942683823707176e-05,,,
44,1716,0.1959048066383753,9.933565780335824e-05,,,
45,1755,0.19076582483756235,9.923779813839668e-05,,,
46,1794,0.1884231353417421,9.913327249081926e-05,,,
47,1833,0.18268225208306924,9.902209501172542e-05,,,
48,1872,0.18417237584407514,9.890428075276617e-05,,,
49,1911,0.18729892334876916,9.877984566410628e-05,,,
50,1950,0.1826673516860375,9.864880659226484e-05,0.0,1.0400097385919764,100.0
51,1989,0.17715982901744354,9.851118127783459e-05,,,
52,2028,0.17859848951682067,9.836698835308001e-05,,,
53,2067,0.17611103906081274,9.821624733941499e-05,,,
54,2106,0.178813208372165,9.805897864475977e-05,,,
55,2145,0.17735452682544023,9.789520356077812e-05,,,
56,2184,0.1734120066349323,9.77249442599948e-05,,,
57,2223,0.17399959342601973,9.754822379279366e-05,,,
58,2262,0.1725456015421794,9.736506608429716e-05,,,
59,2301,0.1715140984608577,9.717549593112707e-05,,,
60,2340,0.1661709902378229,9.697953899804765e-05,,,
61,2379,0.16711858335213783,9.677722181449078e-05,,,
62,2418,0.16999614124114698,9.656857177096455e-05,,,
63,2457,0.1672508580944477,9.63536171153449e-05,,,
64,2496,0.16473195071403796,9.613238694905129e-05,,,
65,2535,0.166172716097954,9.590491122310687e-05,,,
66,2574,0.16458915785337105,9.567122073408365e-05,,,
67,2613,0.16283867011467615,9.5431347119933e-05,,,
68,2652,0.15788041074306536,9.518532285570254e-05,,,
69,2691,0.1597080628077189,9.493318124913936e-05,,,
70,2730,0.15549326095825586,9.467495643618083e-05,,,
71,2769,0.15989633076466048,9.441068337633313e-05,,,
72,2808,0.1578954408566157,9.414039784793815e-05,,,
73,2847,0.15335320585813278,9.386413644332988e-05,,,
74,2886,0.1535778760145872,9.358193656388021e-05,,,
75,2925,0.15476612250010172,9.32938364149355e-05,0.0,1.106183256107488,100.0
76,2964,0.1551886497017665,9.299987500064415e-05,,,
77,3003,0.1545444971475846,9.270009211867607e-05,,,
78,3042,0.1536697302109156,9.239452835483469e-05,,,
79,3081,0.14999482322197694,9.208322507756232e-05,,,
80,3120,0.15206269595103386,9.17662244323395e-05,,,
81,3159,0.15123725071167335,9.144356933597918e-05,,,
82,3198,0.14965196947256723,9.111530347081655e-05,,,
83,3237,0.14577387846433199,9.078147127879497e-05,,,
84,3276,0.14604888359705606,9.044211795544946e-05,,,
85,3315,0.14677601364942697,9.009728944378775e-05,,,
86,3354,0.14248644407743064,8.974703242807052e-05,,,
87,3393,0.1443382516885415,8.939139432749089e-05,,,
88,3432,0.14427237537426826,8.903042328975486e-05,,,
89,3471,0.14442014273924705,8.866416818456262e-05,,,
90,3510,0.14256770985248762,8.829267859699263e-05,,,
91,3549,0.14315719978931624,8.791600482078838e-05,,,
92,3588,0.14432134746741027,8.753419785154959e-05,,,
93,3627,0.1429366056735699,8.714730937982808e-05,,,
94,3666,0.1404989270063547,8.675539178412982e-05,,,
95,3705,0.14084844635083124,8.635849812382358e-05,,,
96,3744,0.13879710817948365,8.595668213195776e-05,,,
97,3783,0.13971576935205704,8.554999820798553e-05,,,
98,3822,0.13743200917274523,8.513850141040019e-05,,,
99,3861,0.13941072940062255,8.472224744928112e-05,,,
100,3900,0.14066453201648516,8.430129267875144e-05,0.0,4.11333277577117,100.0
101,3939,0.13698821514844894,8.387569408934864e-05,,,
102,3978,0.14110474040110907,8.344550930030894e-05,,,
103,4017,0.13676554270279714,8.301079655176657e-05,,,
104,4056,0.1331244496962963,8.257161469686904e-05,,,
105,4095,0.13872135430574417,8.212802319380927e-05,,,
106,4134,0.13745255099657255,8.168008209777598e-05,,,
107,4173,0.13746266372692892,8.122785205282313e-05,,,
108,4212,0.13165171176959306,8.077139428365973e-05,,,
109,4251,0.13519435624281564,8.031077058736098e-05,,,
110,4290,0.12993495089885515,7.98460433250019e-05,,,
111,4329,0.13295880151100647,7.937727541321466e-05,,,
112,4368,0.13396290345833853,7.890453031567076e-05,,,
113,4407,0.1330817081989386,7.842787203448888e-05,,,
114,4446,0.12931996001264986,7.794736510157018e-05,,,
115,4485,0.131884692189021,7.746307456986167e-05,,,
116,4524,0.13187561585352972,7.697506600454902e-05,,,
117,4563,0.1291969086115177,7.648340547418018e-05,,,
118,4602,0.12887582947046328,7.598815954172071e-05,,,
119,4641,0.12903713243894088,7.54893952555422e-05,,,
120,4680,0.13240898190400538,7.498718014034499e-05,,,
121,4719,0.13032019157440233,7.448158218801647e-05,,,
122,4758,0.13088159492382637,7.397266984842602e-05,,,
123,4797,0.13008006241841194,7.3460512020158e-05,,,
124,4836,0.12774691157616103,7.294517804118397e-05,,,
125,4875,0.1260203554844245,7.242673767947546e-05,0.0,2.4613594968125767,100.0
126,4914,0.12515777110671386,7.19052611235585e-05,,,
127,4953,0.12686380610252038,7.138081897301122e-05,,,
128,4992,0.12860265641640395,7.085348222890577e-05,,,
129,5031,0.1275459755307589,7.032332228419592e-05,,,
130,5070,0.12679073539299843,6.979041091405171e-05,,,
131,5109,0.12735243504628158,6.925482026614201e-05,,,
132,5148,0.12812216446185723,6.871662285086706e-05,,,
133,5187,0.12543501666723153,6.817589153154174e-05,,,
134,5226,0.12353838235139847,6.763269951453085e-05,,,
135,5265,0.1240808938940366,6.708712033933835e-05,,,
136,5304,0.12547559310228396,6.653922786865123e-05,,,
137,5343,0.1236507434111375,6.598909627833957e-05,,,
138,5382,0.12457295717337193,6.543680004741447e-05,,,
139,5421,0.122854345310957,6.488241394794471e-05,,,
140,5460,0.12257640808820724,6.43260130349338e-05,,,
141,5499,0.12609825206872743,6.376767263615875e-05,,,
142,5538,0.12242522873939612,6.320746834197194e-05,,,
143,5577,0.12474377548847443,6.264547599506729e-05,,,
144,5616,0.12367837513104463,6.208177168021248e-05,,,
145,5655,0.12016089776387581,6.151643171394821e-05,,,
146,5694,0.12147269799159123,6.094953263425625e-05,,,
147,5733,0.12100168088307747,6.038115119019731e-05,,,
148,5772,0.12008157276954406,5.9811364331520547e-05,,,
149,5811,0.1193197012329713,5.924024919824575e-05,,,
150,5850,0.1233735197247603,5.8667883110219825e-05,0.0,3.876474976951175,100.0
151,5889,0.12125893720449546,5.8094343556648926e-05,,,
152,5928,0.11675635744363834,5.751970818560765e-05,,,
153,5967,0.119410046400168,5.6944054793526774e-05,,,
154,6006,0.11748908307307805,5.636746131466076e-05,,,
155,6045,0.11703912187845279,5.579000581053684e-05,,,
156,6084,0.11714150756597519,5.5211766459386644e-05,,,
157,6123,0.1190420232522182,5.463282154556212e-05,,,
158,6162,0.11763051572518471,5.405324944893711e-05,,,
159,6201,0.11943290401727726,5.347312863429601e-05,,,
160,6240,0.11893305526329921,5.289253764071083e-05,,,
161,6279,0.1149555966258049,5.231155507090825e-05,,,
162,6318,0.11718961940361904,5.1730259580628146e-05,,,
163,6357,0.11760078141322503,5.1148729867974807e-05,,,
164,6396,0.11650395145018895,5.056704466276245e-05,,,
165,6435,0.11695585552698527,4.9985282715856534e-05,,,
166,6474,0.1193119669571901,4.940352278851212e-05,,,
167,6513,0.11739213325274296,4.882184364171079e-05,,,
168,6552,0.1125150611385321,4.824032402549783e-05,,,
169,6591,0.11590121953915326,4.765904266832054e-05,,,
170,6630,0.1142368387335386,4.7078078266369845e-05,,,
171,6669,0.11730942913354972,4.6497509472925936e-05,,,
172,6708,0.11727644101931499,4.591741488770999e-05,,,
173,6747,0.11524367141417968,4.533787304624297e-05,,,
174,6786,0.11451913893986972,4.4758962409213156e-05,,,
175,6825,0.11410864156026107,4.4180761351853924e-05,0.0,4.580040697590209,100.0
176,6864,0.11138080461667134,4.360334815333282e-05,,,
177,6903,0.11136841678466552,4.302680098615401e-05,,,
178,6942,0.11611863283010629,4.2451197905574806e-05,,,
179,6981,0.11309011509785286,4.187661683903836e-05,,,
180,7020,0.11418273815741906,4.130313557562344e-05,,,
181,7059,0.11375571080507377,4.073083175551313e-05,,,
182,7098,0.11328599659296182,4.0159782859483476e-05,,,
183,7137,0.11104171799543576,3.959006619841392e-05,,,
184,7176,0.11698661973843208,3.9021758902820636e-05,,,
185,7215,0.1118815269989845,3.8454937912414246e-05,,,
186,7254,0.10979486505190532,3.7889679965683445e-05,,,
187,7293,0.11234969779466972,3.732606158950583e-05,,,
188,7332,0.11136050751576057,3.676415908878744e-05,,,
189,7371,0.11461922602775769,3.6204048536132166e-05,,,
190,7410,0.11024396885664035,3.564580576154288e-05,,,
191,7449,0.10894410732464913,3.5089506342155144e-05,,,
192,7488,0.11196046284376046,3.453522559200541e-05,,,
193,7527,0.1107330234386982,3.398303855183456e-05,,,
194,7566,0.11153666350321892,3.343301997892866e-05,,,
195,7605,0.11204748104015987,3.2885244336998104e-05,,,
196,7644,0.10926092186799416,3.233978578609622e-05,,,
197,7683,0.11053438723469391,3.179671817257941e-05,,,
198,7722,0.11140288985692538,3.125611501910933e-05,,,
199,7761,0.10699043098168495,3.071804951469927e-05,,,
200,7800,0.11069398526197825,3.018259450480542e-05,0.0,3.3515301193548566,100.0
201,7839,0.11216313754900908,2.9649822481464832e-05,,,
202,7878,0.10764595197561459,2.9119805573481074e-05,,,
203,7917,0.10839629106414624,2.8592615536659254e-05,,,
204,7956,0.10708573823555922,2.806832374409133e-05,,,
205,7995,0.10656233466206452,2.7547001176493397e-05,,,
206,8034,0.10917063764272592,2.7028718412596047e-05,,,
207,8073,0.10873723927980815,2.6513545619589066e-05,,,
208,8112,0.10741866895785698,2.600155254362202e-05,,,
209,8151,0.1099144924336519,2.5492808500361623e-05,,,
210,8190,0.10719758998125027,2.498738236560761e-05,,,
211,8229,0.11029545733561882,2.4485342565967983e-05,,,
212,8268,0.1075249929458667,2.398675706959524e-05,,,
213,8307,0.11028927908493923,2.3491693376984446e-05,,,
214,8346,0.10683319240044324,2.3000218511834823e-05,,,
215,8385,0.10762295910181144,2.2512399011975852e-05,,,
216,8424,0.10760054145103846,2.2028300920359015e-05,,,
217,8463,0.10586062532204848,2.1547989776116697e-05,,,
218,8502,0.10835834611684848,2.1071530605689224e-05,,,
219,8541,0.1072624241694426,2.0598987914021373e-05,,,
220,8580,0.10741608379743038,2.0130425675829328e-05,,,
221,8619,0.10893460745230699,1.9665907326939647e-05,,,
222,8658,0.10957798801171474,1.9205495755700963e-05,,,
223,8697,0.10802278400231631,1.874925329446998e-05,,,
224,8736,0.10735591367269173,1.8297241711172624e-05,,,
225,8775,0.10405240952968597,1.7849522200941683e-05,0.0,4.294188426665255,100.0
226,8814,0.10678955912590027,1.740615537783199e-05,,,
227,8853,0.10935744967980263,1.696720126661415e-05,,,
228,8892,0.10615829961040081,1.6532719294648292e-05,,,
229,8931,0.10723727502119847,1.6102768283838423e-05,,,
230,8970,0.10712356865406036,1.5677406442668952e-05,,,
231,9009,0.10813557987029736,1.5256691358324172e-05,,,
232,9048,0.10946567146441875,1.4840679988891926e-05,,,
233,9087,0.10432948420445125,1.4429428655652285e-05,,,
234,9126,0.10948580656296168,1.4022993035452698e-05,,,
235,9165,0.10689410452659313,1.3621428153170086e-05,,,
236,9204,0.10579168261625828,1.3224788374261455e-05,,,
237,9243,0.10796589022263503,1.2833127397403649e-05,,,
238,9282,0.10487310540599701,1.244649824722339e-05,,,
239,9321,0.10524907612647766,1.2064953267118674e-05,,,
240,9360,0.10519112379123004,1.1688544112172184e-05,,,
241,9399,0.10536746107614957,1.131732174215815e-05,,,
242,9438,0.10467726794572976,1.0951336414643109e-05,,,
243,9477,0.10899638804869774,1.0590637678181879e-05,,,
244,9516,0.10682608674351986,1.0235274365609492e-05,,,
245,9555,0.10574094817424431,9.885294587429975e-06,,,
246,9594,0.10309996398595664,9.540745725302996e-06,,,
247,9633,0.10518964055256966,9.201674425629092e-06,,,
248,9672,0.10815030680252956,8.86812659323459e-06,,,
249,9711,0.10379104029673797,8.54014738515666e-06,,,
250,9750,0.10538173371400589,8.217781204529989e-06,0.0,5.181018284145102,100.0
251,9789,0.10567092647155125,7.901071694575121e-06,,,
252,9828,0.10560636585339522,7.590061732689996e-06,,,
253,9867,0.10325123197757281,7.28479342464492e-06,,,
254,9906,0.10501261189197883,6.985308098882256e-06,,,
255,9945,0.10457615974621895,6.691646300921056e-06,,,
256,9984,0.10666335622469585,6.403847787867966e-06,,,
257,10023,0.10500614593426387,6.121951523034738e-06,,,
258,10062,0.10759236816412364,5.845995670663138e-06,,,
259,10101,0.10621680863774739,5.576017590758234e-06,,,
260,10140,0.10478639354308446,5.31205383403036e-06,,,
261,10179,0.10278601084764187,5.0541401369467545e-06,,,
262,10218,0.10202404111623764,4.802311416893448e-06,,,
263,10257,0.10309767016233543,4.556601767447996e-06,,,
264,10296,0.10359951739127819,4.31704445376371e-06,,,
265,10335,0.10410178280793704,4.083671908066165e-06,,,
266,10374,0.10768909561328399,3.856515725262319e-06,,,
267,10413,0.10405566180363679,3.635606658663113e-06,,,
268,10452,0.10696888065490967,3.4209746158199625e-06,,,
269,10491,0.10143996756046246,3.2126486544757323e-06,,,
270,10530,0.10238559257525665,3.010656978630823e-06,,,
271,10569,0.10630435248215993,2.8150269347247348e-06,,,
272,10608,0.10006506721942852,2.6257850079338774e-06,,,
273,10647,0.10484559471026444,2.442956818585841e-06,,,
274,10686,0.10501073740231685,2.266567118690835e-06,,,
275,10725,0.10511906808003402,2.096639788590654e-06,0.0,4.927531594611355,100.0
